,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
56,"Doylestown, PA",," $418,727 ",40.6 years, 2.15 ,53.3 years, 109.2 ," $73,532 "," 8,307 (100% urban, 0% rural). "," 3,860 "
57,Drexel Hill, 240 feet," $188,377 ",40.6 years, 3.22 ,37.5 years, 103.8 ," $66,528 "," 28,043. "," 8,704 "
58,DuBois,," $93,887 ",40.6 years, 3.34 ,40.4 years, 86.1 ," $42,878 "," 7,632 (100% urban, 0% rural). "," 2,283 "
59,Dunmore, 900 feet," $160,266 ",40.6 years, 8.74 ,39.3 years, 95.9 ," $48,922 "," 13,791 (99% urban, 1% rural). "," 1,578 "
60,East Norriton, 250 feet," $288,535 ",38.0 years, 6.08 ,42.2 years, 114.0 ," $83,708 "," 13,644."," 2,244 "
61,East Stroudsburg, 422 feet," $145,432 ",40.6 years, 2.87 ,27.0 years, 93.4 ," $42,533 "," 9,624 (100% urban, 0% rural). "," 3,354 "
62,East York, 400 feet," $162,802 ",40.6 years, 2.90 ,44.7 years, 96.0 ," $58,597 "," 8,777. "," 3,031 "
63,"Easton, PA", 300 feet," $133,613 ",40.6 years, 4.26 ,33.7 years, 99.8 ," $48,025 "," 27,052 (100% urban, 0% rural). "," 6,354 "
64,"Economy, PA", 720 feet," $185,504 ",40.6 years, 17.7 ,50.2 years, 93.6 ," $83,627 "," 9,294 (73% urban, 27% rural). ", 525 
65,Edinboro, 1220 feet," $166,137 ",40.6 years, 2.32 ,22.6 years, 94.6 ," $37,252 "," 6,437 (100% urban, 0% rural). "," 2,779 "
66,"Elizabethtown, PA", 456 feet," $166,437 ",40.6 years, 2.60 ,32.9 years, 96.2 ," $59,025 "," 11,611 (100% urban, 0% rural). "," 4,461 "
67,Ellwood City, 897 feet," $91,331 ",40.6 years, 2.34 ,41.8 years, 87.0 ," $43,038 "," 7,682 (100% urban, 0% rural). "," 3,286 "
68,Emmaus, 448 feet," $180,915 ",40.6 years, 2.89 ,41.0 years, 101.2 ," $57,958 "," 11,335 (100% urban, 0% rural). "," 3,926 "
69,"Enola, PA", 460 feet," $139,942 ",40.6 years, 1.86 ,34.7 years, 97.5 ," $48,824 "," 6,111. "," 3,279 "
70,"Ephrata, PA", 400 feet," $159,049 ",40.6 years, 3.60 ,37.1 years, 96.1 ," $52,085 "," 13,837 (100% urban, 0% rural). "," 3,846 "
71,"Erie, PA", 650 feet," $89,000 ",40.6 years, 22.0 ,34.0 years, 92.1 ," $36,476 "," 98,601"," 4,490 "
72,Fairless Hills, 100 feet," $234,144 ",40.6 years, 1.92 ,40.6 years, 105.3 ," $64,797 "," 8,466. "," 4,419 "
73,Feasterville-Trevose,," $279,586 ",38.0 years, 1.33 ,36.1 years, 114.8 ," $66,862 "," 6,763."," 5,088 "
74,Fernway, 1040 feet," $233,852 ",40.6 years, 5.33 ,38.6 years, 94.6 ," $98,868 "," 12,414. "," 2,329 "
75,Folcroft, 80 feet," $115,592 ",40.6 years, 1.35 ,35.2 years, 103.5 ," $62,004 "," 6,636 (100% urban, 0% rural). "," 4,899 "
76,"Folsom, PA", 105 feet," $207,984 ",40.6 years, 1.25 ,37.5 years, 104.2 ," $83,913 "," 8,323. "," 6,656 "
77,"Forest Hills, PA", 966 feet," $134,076 ",40.6 years, 1.56 ,48.2 years, 94.3 ," $65,648 "," 6,477 (100% urban, 0% rural). "," 4,154 "
78,"Franklin Park, PA", 1246 feet," $341,701 ",40.6 years, 13.6 ,42.7 years, 97.8 ," $125,652 "," 14,269 (92% urban, 8% rural). "," 1,050 "
79,"Franklin, PA",," $70,387 ",40.6 years, 4.62 ,43.5 years, 84.9 ," $37,178 "," 6,350 (100% urban, 0% rural). "," 1,374 "
80,"Fullerton, PA", 350 feet," $176,780 ",40.6 years, 3.74 ,36.0 years, 101.6 ," $53,614 "," 14,925. "," 3,991 "
81,"Gettysburg, PA", 520 feet," $232,709 ",40.6 years, 1.64 ,23.5 years, 96.6 ," $37,843 "," 7,633 (100% urban, 0% rural). "," 4,649 "
82,Glenolden, 100 feet," $156,655 ",40.6 years, 0.97 ,40.9 years, 103.6 ," $61,738 "," 7,174 (100% urban, 0% rural). "," 7,364 "
83,Glenshaw, 1100 feet," $147,100
",40.6 years,,45.8 years, 96.2 ," $56,140"," 8,981.",
84,Glenside, 276 feet," $275,368 ",40.6 years, 1.27 ,36.6 years, 104.8 ," $85,995 "," 8,384. "," 6,587 "
85,"Greensburg, PA", 1100 feet," $131,067 ",40.6 years, 4.24 ,40.6 years, 93.4 ," $37,984 "," 14,571 (100% urban, 0% rural). "," 3,435 "
86,"Grove City, PA", 1256 feet," $124,994 ",40.6 years, 2.65 ,25.9 years, 95.3 ," $48,234 "," 8,215 (100% urban, 0% rural). "," 3,098 "
